sku,slug,name,group_name,size,size_label,pack_qty,unit,price,currency,manba_narx,manba_valyuta,brand,category_uz,subcategory_ru,supplier,price_date,in_stock,featured
NG-0060,perehodnik-90x75-absan-sanat,Переходник 90x75 Absan Sanat,Переходник,90x75,Размер,30/20,dona,20570,UZS,20570,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0061,perehodnik-110x50-absan-sanat,Переходник 110x50 Absan Sanat,Переходник,110x50,Размер,20,dona,21780,UZS,21780,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0062,perehodnik-110x63-absan-sanat,Переходник 110x63 Absan Sanat,Переходник,110x63,Размер,20,dona,21780,UZS,21780,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0063,perehodnik-110x75-absan-sanat,Переходник 110x75 Absan Sanat,Переходник,110x75,Размер,20,dona,21780,UZS,21780,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0064,perehodnik-110x90-absan-sanat,Переходник 110x90 Absan Sanat,Переходник,110x90,Размер,,dona,30250,UZS,30250,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0065,perehodnik-160x90-absan-sanat,Переходник 160x90 Absan Sanat,Переходник,160x90,Размер,16,dona,54450,UZS,54450,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0066,perehodnik-160x110-absan-sanat,Переходник 160x110 Absan Sanat,Переходник,160x110,Размер,16,dona,48400,UZS,48400,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0067,perehodnik-200x110-absan-sanat,Переходник 200x110 Absan Sanat,Переходник,200x110,Размер,18,dona,96800,UZS,96800,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0068,perehodnik-200x160-absan-sanat,Переходник 200x160 Absan Sanat,Переходник,200x160,Размер,18,dona,145200,UZS,145200,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0069,perehodnik-250x160-absan-sanat,Переходник 250x160 Absan Sanat,Переходник,250x160,Размер,8,dona,217800,UZS,217800,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0070,perehodnik-250x200-absan-sanat,Переходник 250x200 Absan Sanat,Переходник,250x200,Размер,8,dona,242000,UZS,242000,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0071,perehodnik-315x250-absan-sanat,Переходник 315x250 Absan Sanat,Переходник,315x250,Размер,3/2,dona,544500,UZS,544500,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0072,troynik-perehodnik-63x50-absan-sanat,Тройник переходник 63x50 Absan Sanat,Тройник переходник,63x50,Размер,30/20,dona,30250,UZS,30250,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0073,troynik-perehodnik-75x50-absan-sanat,Тройник переходник 75x50 Absan Sanat,Тройник переходник,75x50,Размер,20,dona,33880,UZS,33880,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0074,troynik-perehodnik-75x63-absan-sanat,Тройник переходник 75x63 Absan Sanat,Тройник переходник,75x63,Размер,20,dona,33880,UZS,33880,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0075,troynik-perehodnik-90x75-absan-sanat,Тройник переходник 90x75 Absan Sanat,Тройник переходник,90x75,Размер,15,dona,54450,UZS,54450,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0076,troynik-perehodnik-110x50-absan-sanat,Тройник переходник 110x50 Absan Sanat,Тройник переходник,110x50,Размер,12,dona,50820,UZS,50820,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0077,troynik-perehodnik-110x63-absan-sanat,Тройник переходник 110x63 Absan Sanat,Тройник переходник,110x63,Размер,12,dona,50820,UZS,50820,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0078,troynik-perehodnik-110x75-absan-sanat,Тройник переходник 110x75 Absan Sanat,Тройник переходник,110x75,Размер,12,dona,50820,UZS,50820,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0079,troynik-perehodnik-110x90-absan-sanat,Тройник переходник 110x90 Absan Sanat,Тройник переходник,110x90,Размер,12,dona,50820,UZS,50820,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0080,troynik-perehodnik-160x90-absan-sanat,Тройник переходник 160x90 Absan Sanat,Тройник переходник,160x90,Размер,5,dona,114950,UZS,114950,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
